Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak
1,2021/04/01,ARI,SDP,L,7,8,,0-1,3,1,Pagán,Young,Melancon,3:26,D,"10,350",1.09,-
2,2021/04/02,ARI,SDP,L,2,4,,0-2,5,2,Pagán,Kelly,Melancon,3:53,N,"10,350",1.04,--
3,2021/04/03,ARI,SDP,L,0,7,,0-3,5,3,Musgrove,Smith,Weathers,2:58,N,"10,350",0.95,---
4,2021/04/04,ARI,SDP,W,3,1,,1-3,4,2,Widener,Paddack,Devenski,3:19,D,"10,350",0.94,+
5,2021/04/06,ARI,COL,W,10,8,13,2-3,3,2.5,Peacock,Bowden,,4:29,N,"10,240",0.93,++
6,2021/04/07,ARI,COL,L,0,8,,2-4,4,2.5,Senzatela,Bumgarner,,2:57,N,"12,894",0.97,-
7,2021/04/08,ARI,COL,L,3,7,,2-5,5,3,Gray,Kelly,Bard,2:51,D,"10,836",1,--
8,2021/04/09,ARI,CIN,L,5,6,10,2-6,5,4,Pérez,Young,Garrett,3:47,N,"19,385",0.85,---
9,2021/04/10,ARI,CIN,W,8,3,,3-6,4,4,Smith,Hoffman,,3:09,N,"13,208",0.77,+
10,2021/04/11,ARI,CIN,W,7,0,,4-6,4,4,Weaver,De León,,2:39,D,"10,981",0.79,++
11,2021/04/12,ARI,OAK,L,5,9,,4-7,4,4.5,Bassitt,Bumgarner,,3:29,N,"8,768",0.78,-
12,2021/04/13,ARI,OAK,L,5,7,,4-8,4,5.5,Petit,Swarzak,Trivino,3:39,D,"7,010",0.72,--
13,2021/04/15,ARI,WSN,W,11,6,,5-8,4,6,Kelly,Corbin,,3:26,N,"6,666",0.73,+
14,2021/04/16,ARI,WSN,L-wo,0,1,,5-9,4,7,Hand,Young,,2:54,N,"8,056",0.76,-
15,2021/04/17,ARI,WSN,L,2,6,,5-10,4,8,Fedde,Weaver,,3:23,D,"8,305",0.74,--
16,2021/04/18,ARI,WSN,W,5,2,,6-10,4,7,Bumgarner,Espino,Crichton,3:20,D,"8,478",0.67,+
17,2021/04/20,ARI,CIN,W,5,4,,7-10,4,6.5,Bukauskas,Garrett,Crichton,3:20,N,"8,085",0.72,++
18,2021/04/21,ARI,CIN,W,8,5,10,8-10,4,6,Clarke,Pérez,,3:40,N,"8,025",0.78,+++
