Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak
1,2017/04/02,ARI,SFG,W-wo,6,5,,1-0,1,up 0.5,Rodney,Melancon,,3:23,D,"49,016",1.06,+
2,2017/04/04,ARI,SFG,L,4,8,,1-1,2,1,Cueto,Corbin,,3:26,N,"19,378",1.12,-
3,2017/04/05,ARI,SFG,W,8,6,,2-1,1,Tied,Walker,Moore,Rodney,3:15,N,"14,675",1.03,+
4,2017/04/06,ARI,SFG,W,9,3,,3-1,1,Tied,De La Rosa,Samardzija,,3:00,N,"15,308",1.1,++
5,2017/04/07,ARI,CLE,W,7,3,,4-1,1,Tied,Miller,Tomlin,,3:19,N,"22,443",1,+++
6,2017/04/08,ARI,CLE,W,11,2,,5-1,1,Tied,Greinke,Bauer,,3:15,N,"28,437",1.01,++++
7,2017/04/09,ARI,CLE,W,3,2,,6-1,1,up 1.0,Corbin,Kluber,Rodney,3:02,D,"30,191",1.05,+++++
8,2017/04/10,ARI,SFG,L,1,4,,6-2,1,up 1.0,Moore,Walker,Melancon,2:38,D,"42,129",1.21,-
9,2017/04/11,ARI,SFG,W,4,3,,7-2,1,up 1.0,Ray,Samardzija,Rodney,3:18,N,"41,562",1.21,+
10,2017/04/12,ARI,SFG,L,2,6,,7-3,1,up 1.0,Cain,Miller,,3:21,N,"41,656",1.23,-
11,2017/04/14,ARI,LAD,L,1,7,,7-4,1,up 0.5,Kershaw,Greinke,,3:06,N,"49,438",1.24,--
12,2017/04/15,ARI,LAD,L,4,8,,7-5,2,0.5,Wood,Corbin,Jansen,3:03,N,"48,070",1.2,---
13,2017/04/16,ARI,LAD,W,3,1,,8-5,2,0.5,Walker,Hill,Rodney,3:22,D,"39,822",1.24,+
14,2017/04/17,ARI,LAD,W,4,2,,9-5,1,Tied,Hoover,Hatcher,Rodney,3:07,N,"35,448",1.25,++
15,2017/04/18,ARI,SDP,W,11,2,,10-5,1,Tied,Miller,Cosart,,3:20,N,"19,869",1.24,+++
16,2017/04/19,ARI,SDP,L,0,1,,10-6,1,Tied,Chacín,Greinke,Maurer,2:13,N,"17,089",1.27,-
17,2017/04/20,ARI,SDP,L,1,4,,10-7,2,0.5,Richard,Corbin,Maurer,2:24,N,"17,831",1.24,--
18,2017/04/21,ARI,LAD,W,13,5,,11-7,2,0.5,Bradley,Stripling,,3:28,N,"27,018",1.27,+
19,2017/04/22,ARI,LAD,W,11,5,,12-7,2,0.5,Ray,Maeda,,3:20,N,"36,294",1.32,++
20,2017/04/23,ARI,LAD,L,2,6,,12-8,2,1.5,McCarthy,Miller,,2:54,D,"28,704",1.3,-
21,2017/04/24,ARI,SDP,W,7,6,,13-8,2,1.5,Greinke,Chacín,Rodney,3:05,N,"14,758",1.24,+
22,2017/04/25,ARI,SDP,W,9,3,,14-8,2,0.5,Corbin,Richard,,3:02,N,"17,531",1.28,++
23,2017/04/26,ARI,SDP,L,5,8,,14-9,2,0.5,Buchter,Rodney,Maurer,3:14,N,"12,215",1.29,-
24,2017/04/27,ARI,SDP,W,6,2,,15-9,1,up 0.5,Walker,Weaver,,2:21,N,"15,452",1.3,+
25,2017/04/28,ARI,COL,L,1,3,,15-10,2,0.5,Freeland,Ray,Holland,2:53,N,"19,300",1.5,-
26,2017/04/29,ARI,COL,L,6,7,,15-11,2,1.5,Estévez,Rodney,Holland,3:38,N,"30,445",1.5,--
27,2017/04/30,ARI,COL,W-wo,2,0,13,16-11,2,0.5,Delgado,Lyles,,4:02,D,"23,613",1.42,+
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
28,2017/05/02,ARI,WSN,W,6,3,,17-11,1,up 0.5,McFarland,Roark,Rodney,3:48,N,"22,826",1.18,++
