Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Apr 1 (https://www.baseball-reference.com/boxes/?date=2021-04-01)",boxscore (https://www.baseball-reference.com/boxes/SDN/SDN202104010.shtml),ARI,@,SDP (https://www.baseball-reference.com/teams/SDP/2021.shtml),L,7,8,,0-1,3,1,Pagán (https://www.baseball-reference.com/players/p/paganem01.shtml),Young (https://www.baseball-reference.com/players/y/youngal01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),3:26,D,"10,350",1.09,-,
2,"Friday, Apr 2 (https://www.baseball-reference.com/boxes/?date=2021-04-02)",boxscore (https://www.baseball-reference.com/boxes/SDN/SDN202104020.shtml),ARI,@,SDP (https://www.baseball-reference.com/teams/SDP/2021.shtml),L,2,4,,0-2,5,2,Pagán (https://www.baseball-reference.com/players/p/paganem01.shtml),Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),3:53,N,"10,350",1.04,--,
3,"Saturday, Apr 3 (https://www.baseball-reference.com/boxes/?date=2021-04-03)",boxscore (https://www.baseball-reference.com/boxes/SDN/SDN202104030.shtml),ARI,@,SDP (https://www.baseball-reference.com/teams/SDP/2021.shtml),L,0,7,,0-3,5,3,Musgrove (https://www.baseball-reference.com/players/m/musgrjo01.shtml),Smith (https://www.baseball-reference.com/players/s/smithca03.shtml),Weathers (https://www.baseball-reference.com/players/w/weathry01.shtml),2:58,N,"10,350",0.95,---,
4,"Sunday, Apr 4 (https://www.baseball-reference.com/boxes/?date=2021-04-04)",boxscore (https://www.baseball-reference.com/boxes/SDN/SDN202104040.shtml),ARI,@,SDP (https://www.baseball-reference.com/teams/SDP/2021.shtml),W,3,1,,1-3,4,2,Widener (https://www.baseball-reference.com/players/w/widenta01.shtml),Paddack (https://www.baseball-reference.com/players/p/paddach01.shtml),Devenski (https://www.baseball-reference.com/players/d/devench02.shtml),3:19,D,"10,350",0.94,+,
5,"Tuesday, Apr 6 (https://www.baseball-reference.com/boxes/?date=2021-04-06)",boxscore (https://www.baseball-reference.com/boxes/COL/COL202104060.shtml),ARI,@,COL (https://www.baseball-reference.com/teams/COL/2021.shtml),W,10,8,13,2-3,3,2.5,Peacock (https://www.baseball-reference.com/players/p/peacoma01.shtml),Bowden (https://www.baseball-reference.com/players/b/bowdebe01.shtml),,4:29,N,"10,240",0.93,++,
6,"Wednesday, Apr 7 (https://www.baseball-reference.com/boxes/?date=2021-04-07)",boxscore (https://www.baseball-reference.com/boxes/COL/COL202104070.shtml),ARI,@,COL (https://www.baseball-reference.com/teams/COL/2021.shtml),L,0,8,,2-4,4,2.5,Senzatela (https://www.baseball-reference.com/players/s/senzaan01.shtml),Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),,2:57,N,"12,894",0.97,-,
7,"Thursday, Apr 8 (https://www.baseball-reference.com/boxes/?date=2021-04-08)",boxscore (https://www.baseball-reference.com/boxes/COL/COL202104080.shtml),ARI,@,COL (https://www.baseball-reference.com/teams/COL/2021.shtml),L,3,7,,2-5,5,3,Gray (https://www.baseball-reference.com/players/g/grayjo02.shtml),Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Bard (https://www.baseball-reference.com/players/b/bardda01.shtml),2:51,D,"10,836",1,--,
8,"Friday, Apr 9 (https://www.baseball-reference.com/boxes/?date=2021-04-09)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202104090.shtml),ARI,,CIN (https://www.baseball-reference.com/teams/CIN/2021.shtml),L,5,6,10,2-6,5,4,Pérez (https://www.baseball-reference.com/players/p/perezci01.shtml),Young (https://www.baseball-reference.com/players/y/youngal01.shtml),Garrett (https://www.baseball-reference.com/players/g/garream01.shtml),3:47,N,"19,385",0.85,---,
9,"Saturday, Apr 10 (https://www.baseball-reference.com/boxes/?date=2021-04-10)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202104100.shtml),ARI,,CIN (https://www.baseball-reference.com/teams/CIN/2021.shtml),W,8,3,,3-6,4,4,Smith (https://www.baseball-reference.com/players/s/smithri01.shtml),Hoffman (https://www.baseball-reference.com/players/h/hoffmje02.shtml),,3:09,N,"13,208",0.77,+,
10,"Sunday, Apr 11 (https://www.baseball-reference.com/boxes/?date=2021-04-11)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202104110.shtml),ARI,,CIN (https://www.baseball-reference.com/teams/CIN/2021.shtml),W,7,0,,4-6,4,4,Weaver (https://www.baseball-reference.com/players/w/weavelu01.shtml),De León (https://www.baseball-reference.com/players/d/deleojo03.shtml),,2:39,D,"10,981",0.79,++,
