gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
ANA202104010,CHA,ANA,ANA01,20210401,0,7:05 PM,night,9,2,TRUE,,171,13207,unknown,none,cloudy,81,tocf,6,munse701,,vanol901,hudsm901,rackd901,mosce901,(none),(none),mayem001,bumma001,igler001,regular,3,4,ANA,CHA,y,both,y,y,y,2021
CHN202104010,PIT,CHN,CHI11,20210401,0,1:20 PM,day,9,2,FALSE,,240,10343,unknown,none,sunny,36,ltor,7,frisd701,,wegnm901,guccc901,dejer901,porta901,(none),(none),howas002,hendk001,rodrr008,regular,5,3,PIT,CHN,y,both,y,y,y,2021
CIN202104010,SLN,CIN,CIN09,20210401,0,4:10 PM,day,9,2,FALSE,,211,12264,unknown,none,cloudy,37,torf,16,rothr701,,reynj901,randt901,ticht901,whitc901,(none),(none),gallg001,castl003,,regular,11,6,SLN,CIN,y,both,y,y,y,2021
COL202104010,LAN,COL,DEN02,20210401,0,2:10 PM,day,9,2,FALSE,,226,20570,unknown,none,sunny,70,tocf,5,einsd701,,welkb901,conrc901,hobep901,may-b901,(none),(none),gonzc002,kersc001,bardd001,regular,5,8,COL,LAN,y,both,y,y,y,2021
DET202104010,CLE,DET,DET05,20210401,0,1:10 PM,day,9,2,TRUE,,183,8000,unknown,snow,overcast,32,tocf,15,klonc701,,gibsg901,barkl901,littw901,willr901,(none),(none),boydm001,biebs001,sotog003,regular,2,3,DET,CLE,y,both,y,y,y,2021
KCA202104010,TEX,KCA,KAN06,20210401,0,3:10 PM,day,9,2,TRUE,,266,9155,unknown,none,sunny,50,fromrf,4,butcp701,,mealj901,hicke901,carav901,viscj901,(none),(none),hernc006,codyk001,daviw001,regular,10,14,KCA,TEX,y,both,y,y,y,2021
MIA202104010,TBA,MIA,MIA02,20210401,0,4:10 PM,day,9,2,FALSE,,164,7062,unknown,none,dome,72,unknown,0,jernr701,,laynj901,wendh902,estam901,wolcq901,(none),(none),thomr007,garcy001,castd002,regular,1,0,TBA,MIA,y,both,y,y,y,2021
MIL202104010,MIN,MIL,MIL06,20210401,0,1:10 PM,day,9,2,FALSE,,254,11740,unknown,none,dome,63,unknown,0,odrit701,,danlk901,buckc901,fairc901,hamaa901,(none),(none),hadej001,dobnr001,,regular,5,6,MIL,MIN,y,both,y,y,y,2021
NYA202104010,TOR,NYA,NYC21,20210401,0,1:05 PM,day,9,2,TRUE,,224,10850,unknown,none,cloudy,43,fromrf,16,sprej701,,carlm901,hoyej901,bakej902,segac901,(none),(none),romaj004,nelsn001,merrj001,regular,3,2,TOR,NYA,y,both,y,y,y,2021
OAK202104010,HOU,OAK,OAK01,20210401,0,7:07 PM,night,9,2,TRUE,,208,10436,unknown,none,sunny,68,torf,9,thomc701,,gormb901,johna901,belld901,barbs901,(none),(none),greiz001,bassc001,,regular,8,1,HOU,OAK,y,both,y,y,y,2021
PHI202104010,ATL,PHI,PHI13,20210401,0,3:05 PM,day,9,2,FALSE,,213,8529,unknown,none,cloudy,49,ltor,19,macom701,,millb901,eddid901,knigb901,morag901,(none),(none),brogc001,jonen001,,regular,2,3,PHI,ATL,y,both,y,y,y,2021
SDN202104010,ARI,SDN,SAN02,20210401,0,1:10 PM,day,9,2,FALSE,,206,10350,unknown,none,cloudy,85,ltor,10,zaveb701,,barrt901,herna901,sches901,navaj901,(none),(none),pagae001,youna002,melam001,regular,7,8,SDN,ARI,y,both,y,y,y,2021
SEA202104010,SFN,SEA,SEA03,20210401,0,7:10 PM,night,9,2,TRUE,,225,8174,unknown,none,cloudy,54,fromrf,3,radoe701,,nelsj901,diazl901,gibsh902,gonzm901,(none),(none),misia001,alvaj003,,regular,7,8,SEA,SFN,y,both,y,y,y,2021
ANA202104020,CHA,ANA,ANA01,20210402,0,6:38 PM,night,9,2,TRUE,,224,12763,unknown,none,sunny,66,tolf,10,munse701,,hudsm901,rackd901,mosce901,vanol901,(none),(none),kopem001,heana001,hendl001,regular,12,8,CHA,ANA,y,both,y,y,y,2021
BOS202104020,BAL,BOS,BOS07,20210402,0,2:10 PM,day,9,2,TRUE,,190,4452,unknown,none,cloudy,37,torf,10,ellib701,,westj901,kulpr901,drecb901,lentn901,(none),(none),meanj001,eovan001,valdc003,regular,3,0,BAL,BOS,y,both,y,y,y,2021
COL202104020,LAN,COL,DEN02,20210402,0,6:40 PM,night,9,2,FALSE,,199,20363,unknown,none,sunny,73,tolf,6,einsd701,,conrc901,hobep901,may-b901,welkb901,(none),(none),bauet001,senza001,,regular,11,6,LAN,COL,y,both,y,y,y,2021
MIA202104020,TBA,MIA,MIA02,20210402,0,7:10 PM,night,9,2,FALSE,,202,6115,unknown,none,dome,74,unknown,0,mcdob701,,wendh902,estam901,wolcq901,laynj901,(none),(none),kitta001,bassa001,castd002,regular,6,4,TBA,MIA,y,both,y,y,y,2021
OAK202104020,HOU,OAK,OAK01,20210402,0,6:40 PM,night,9,2,TRUE,,214,5446,unknown,none,cloudy,55,torf,17,thomc701,,johna901,belld901,barbs901,gormb901,(none),(none),abreb002,luzaj001,,regular,9,5,HOU,OAK,y,both,y,y,y,2021
SDN202104020,ARI,SDN,SAN02,20210402,0,7:10 PM,night,9,2,FALSE,,233,10350,unknown,none,sunny,63,ltor,5,zaveb701,,herna901,sches901,navaj901,barrt901,(none),(none),pagae001,kellm002,melam001,regular,2,4,SDN,ARI,y,both,y,y,y,2021
SEA202104020,SFN,SEA,SEA03,20210402,0,7:10 PM,night,9,2,TRUE,,196,8392,unknown,none,cloudy,53,ltor,2,padud701,,diazl901,gibsh902,gonzm901,nelsj901,(none),(none),peraw002,stecd001,mcgej001,regular,6,3,SFN,SEA,y,both,y,y,y,2021
ANA202104030,CHA,ANA,ANA01,20210403,0,6:07 PM,night,9,2,TRUE,,184,12043,unknown,none,sunny,71,tocf,10,franm701,,rackd901,mosce901,vanol901,hudsm901,(none),(none),guerj003,marse001,,regular,3,5,ANA,CHA,y,both,y,y,y,2021
BOS202104030,BAL,BOS,BOS07,20210403,0,1:10 PM,day,9,2,TRUE,,171,4571,unknown,none,sunny,46,ltor,15,ellib701,,kulpr901,drecb901,lentn901,westj901,(none),(none),pluta001,houct001,valdc003,regular,4,2,BAL,BOS,y,both,y,y,y,2021
CHN202104030,PIT,CHN,CHI11,20210403,0,1:20 PM,day,9,2,FALSE,,188,10343,unknown,none,sunny,62,tocf,8,speaa701,,guccc901,dejer901,porta901,wegnm901,(none),(none),arrij001,andet002,,regular,1,5,CHN,PIT,y,both,y,y,y,2021
