Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,2018/03/29,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201803290.shtml),ARI,,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),W,8,2,,1-0,1,Tied,Corbin (https://www.baseball-reference.com/players/c/corbipa01.shtml),Gray (https://www.baseball-reference.com/players/g/grayjo02.shtml),,3:36,N,"48,703",1.06,+,
2,2018/03/30,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201803300.shtml),ARI,,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),W,9,8,,2-0,1,Tied,Ray (https://www.baseball-reference.com/players/r/rayro02.shtml),Senzatela (https://www.baseball-reference.com/players/s/senzaan01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:22,N,"23,937",1.13,++,
3,2018/03/31,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201803310.shtml),ARI,,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),L,1,2,,2-1,1,Tied,Shaw (https://www.baseball-reference.com/players/s/shawbr01.shtml),Salas (https://www.baseball-reference.com/players/s/salasfe01.shtml),Davis (https://www.baseball-reference.com/players/d/daviswa01.shtml),2:54,N,"33,346",1.14,-,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
4,2018/04/02,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201804020.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),W-wo,8,7,15,3-1,1,up 1.0,Salas (https://www.baseball-reference.com/players/s/salasfe01.shtml),Font (https://www.baseball-reference.com/players/f/fontwi01.shtml),,5:46,N,"21,735",1.14,+,
5,2018/04/03,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201804030.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),W,6,1,,4-1,1,up 2.0,Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Kershaw (https://www.baseball-reference.com/players/k/kershcl01.shtml),,2:48,N,"27,574",1.16,++,
6,2018/04/04,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201804040.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),W,3,0,,5-1,1,up 2.0,Corbin (https://www.baseball-reference.com/players/c/corbipa01.shtml),Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),2:25,D,"25,754",1.24,+++,
7,2018/04/05,boxscore (https://www.baseball-reference.com/boxes/SLN/SLN201804050.shtml),ARI,@,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),W,3,1,,6-1,1,up 2.0,Ray (https://www.baseball-reference.com/players/r/rayro02.shtml),Wainwright (https://www.baseball-reference.com/players/w/wainwad01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:32,N,"46,512",1.12,++++,
8,2018/04/07,boxscore (https://www.baseball-reference.com/boxes/SLN/SLN201804070.shtml),ARI,@,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),L,3,5,,6-2,1,up 1.5,Wacha (https://www.baseball-reference.com/players/w/wachami01.shtml),Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Norris (https://www.baseball-reference.com/players/n/norribu01.shtml),2:58,D,"41,113",1.16,-,
9,2018/04/08,boxscore (https://www.baseball-reference.com/boxes/SLN/SLN201804080.shtml),ARI,@,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),W,4,1,,7-2,1,up 2.5,Hirano (https://www.baseball-reference.com/players/h/hiranyo01.shtml),Leone (https://www.baseball-reference.com/players/l/leonedo01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),2:53,D,"40,468",1.11,+,
10,2018/04/09,boxscore (https://www.baseball-reference.com/boxes/SFN/SFN201804090.shtml),ARI,@,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),W,2,1,,8-2,1,up 3.5,Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Holland (https://www.baseball-reference.com/players/h/hollade01.shtml),Bradley (https://www.baseball-reference.com/players/b/bradlar01.shtml),2:33,N,"36,997",1.37,++,
11,2018/04/10,boxscore (https://www.baseball-reference.com/boxes/SFN/SFN201804100.shtml),ARI,@,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),L-wo,4,5,,8-3,1,up 2.5,Strickland (https://www.baseball-reference.com/players/s/strichu01.shtml),De La Rosa (https://www.baseball-reference.com/players/r/rosajo01.shtml),,3:24,N,"37,869",1.4,-,
12,2018/04/11,boxscore (https://www.baseball-reference.com/boxes/SFN/SFN201804110.shtml),ARI,@,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),W,7,3,,9-3,1,up 3.5,Salas (https://www.baseball-reference.com/players/s/salasfe01.shtml),Suárez (https://www.baseball-reference.com/players/s/suarean01.shtml),,3:09,D,"35,041",1.35,+,
13,2018/04/13,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201804130.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),W,8,7,,10-3,1,up 3.0,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:30,N,"43,791",1.37,++,
14,2018/04/14,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201804140.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),W,9,1,,11-3,1,up 4.0,McFarland (https://www.baseball-reference.com/players/m/mcfartj01.shtml),Hill (https://www.baseball-reference.com/players/h/hillri01.shtml),,3:10,N,"44,306",1.31,+++,
15,2018/04/15,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201804150.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),L,2,7,,11-4,1,up 3.0,Kershaw (https://www.baseball-reference.com/players/k/kershcl01.shtml),Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),,3:09,D,"47,527",1.32,-,
16,2018/04/17,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201804170.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),W,1,0,,12-4,1,up 2.5,Corbin (https://www.baseball-reference.com/players/c/corbipa01.shtml),Watson (https://www.baseball-reference.com/players/w/watsoto01.shtml),,2:05,N,"19,669",1.39,+,
17,2018/04/18,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201804180.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),L,3,4,10,12-5,1,up 2.5,Strickland (https://www.baseball-reference.com/players/s/strichu01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),Gearrin (https://www.baseball-reference.com/players/g/gearrco01.shtml),3:44,N,"16,976",1.36,-,
18,2018/04/19,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201804190.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),W,3,1,,13-5,1,up 3.0,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Blach (https://www.baseball-reference.com/players/b/blachty01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),2:23,N,"18,736",1.4,+,
19,2018/04/20,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201804200.shtml),ARI,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),L,1,4,,13-6,1,up 3.0,Hand (https://www.baseball-reference.com/players/h/handbr01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),,2:54,N,"24,902",1.34,-,
20,2018/04/21,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201804210.shtml),ARI,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,6,2,,14-6,1,up 3.0,Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Richard (https://www.baseball-reference.com/players/r/richacl01.shtml),,2:55,N,"38,820",1.33,+,
21,2018/04/22,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201804220.shtml),ARI,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,4,2,,15-6,1,up 4.0,Corbin (https://www.baseball-reference.com/players/c/corbipa01.shtml),Lucchesi (https://www.baseball-reference.com/players/l/lucchjo01.shtml),Bradley (https://www.baseball-reference.com/players/b/bradlar01.shtml),2:42,D,"31,061",1.36,++,
22,2018/04/24,boxscore (https://www.baseball-reference.com/boxes/PHI/PHI201804240.shtml),ARI,@,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),W,8,4,,16-6,1,up 4.5,Salas (https://www.baseball-reference.com/players/s/salasfe01.shtml),Velasquez (https://www.baseball-reference.com/players/v/velasvi01.shtml),,3:49,N,"18,195",1.28,+++,
23,2018/04/25,boxscore (https://www.baseball-reference.com/boxes/PHI/PHI201804250.shtml),ARI,@,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),L,3,5,,16-7,1,up 3.5,Arrieta (https://www.baseball-reference.com/players/a/arrieja01.shtml),Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Neris (https://www.baseball-reference.com/players/n/nerishe01.shtml),2:55,N,"21,349",1.28,-,
24,2018/04/26,boxscore (https://www.baseball-reference.com/boxes/PHI/PHI201804260.shtml),ARI,@,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),W,8,2,,17-7,1,up 4.0,Koch (https://www.baseball-reference.com/players/k/kochma01.shtml),Lively (https://www.baseball-reference.com/players/l/livelbe01.shtml),,3:12,D,"20,335",1.29,+,
25,2018/04/27,boxscore (https://www.baseball-reference.com/boxes/WAS/WAS201804270.shtml),ARI,@,WSN (https://www.baseball-reference.com/teams/WSN/2018.shtml),W,5,4,,18-7,1,up 4.0,Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Strasburg (https://www.baseball-reference.com/players/s/strasst01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:02,N,"26,517",1.22,++,
26,2018/04/28,boxscore (https://www.baseball-reference.com/boxes/WAS/WAS201804280.shtml),ARI,@,WSN (https://www.baseball-reference.com/teams/WSN/2018.shtml),W,4,3,10,19-7,1,up 5.0,Hirano (https://www.baseball-reference.com/players/h/hiranyo01.shtml),Solís (https://www.baseball-reference.com/players/s/solissa01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:16,D,"32,963",1.23,+++,
27,2018/04/29,boxscore (https://www.baseball-reference.com/boxes/WAS/WAS201804290.shtml),ARI,@,WSN (https://www.baseball-reference.com/teams/WSN/2018.shtml),L,1,3,,19-8,1,up 5.0,Gonzalez (https://www.baseball-reference.com/players/g/gonzagi01.shtml),McFarland (https://www.baseball-reference.com/players/m/mcfartj01.shtml),Doolittle (https://www.baseball-reference.com/players/d/doolise01.shtml),2:49,D,"30,285",1.23,-,
28,2018/04/30,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201804300.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),W,8,5,,20-8,1,up 5.5,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Stripling (https://www.baseball-reference.com/players/s/stripro01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:27,N,"17,562",1.38,+,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
29,2018/05/01,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201805010.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),W,4,3,,21-8,1,up 6.0,Bracho (https://www.baseball-reference.com/players/b/brachsi01.shtml),Liberatore (https://www.baseball-reference.com/players/l/liberad01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:12,N,"18,940",1.39,++,
30,2018/05/02,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201805020.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),L,1,2,,21-9,1,up 5.0,Hudson (https://www.baseball-reference.com/players/h/hudsoda01.shtml),Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:12,N,"19,531",1.35,-,
31,2018/05/03,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201805030.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),L,2,5,,21-10,1,up 4.5,Chargois (https://www.baseball-reference.com/players/c/chargjt01.shtml),Salas (https://www.baseball-reference.com/players/s/salasfe01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:17,D,"21,407",1.42,--,
32,2018/05/04,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201805040.shtml),ARI,,HOU (https://www.baseball-reference.com/teams/HOU/2018.shtml),L,0,8,,21-11,1,up 3.5,Cole (https://www.baseball-reference.com/players/c/colege01.shtml),Medlen (https://www.baseball-reference.com/players/m/medlekr01.shtml),,2:50,N,"29,463",1.23,---,
33,2018/05/05,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201805050.shtml),ARI,,HOU (https://www.baseball-reference.com/teams/HOU/2018.shtml),W-wo,4,3,,22-11,1,up 3.5,Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),Devenski (https://www.baseball-reference.com/players/d/devench02.shtml),,3:34,N,"39,154",1.24,+,
34,2018/05/06,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201805060.shtml),ARI,,HOU (https://www.baseball-reference.com/teams/HOU/2018.shtml),W,3,1,,23-11,1,up 3.5,Koch (https://www.baseball-reference.com/players/k/kochma01.shtml),Verlander (https://www.baseball-reference.com/players/v/verlaju01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),2:55,D,"35,632",1.24,++,
